Time_s,GT_Amplitude,Measured_Amplitude,Frequency_Hz,GT_PSD_dBHz,Measured_PSD_dBHz
0.286,-2.41331696741844,0.329568534428406,34.912109375,-50.9728503540442,-62.0086437437423
0.287,-2.49110898268731,0.153973016340335,35.0341796875,-51.6146029175045,-61.4969096253502
0.288,-2.49105807353792,-0.0199346658625589,35.15625,-50.2117188361547,-61.007447627567
0.289,-2.40724403849488,-0.178873134682612,35.2783203125,-49.9231546173409,-63.17835657069
0.29,-2.24156562413772,-0.310502155488408,35.400390625,-50.9170022969002,-66.8881181769481
0.291,-2.00371128550947,-0.404348350706823,35.5224609375,-50.2976765814439,-62.7404920721334
0.292,-1.71040388103399,-0.452596627199184,35.64453125,-46.5706065978335,-58.2448527537449
0.293,-1.38398316957136,-0.450675552301816,35.7666015625,-48.2190444421891,-60.5885103501763
0.294,-1.05045183167341,-0.397591696926229,35.888671875,-52.0370030938244,-64.1145451428718
0.295,-0.737161783032517,-0.295990913629075,36.0107421875,-53.0811273305118,-64.7764502741776
0.296,-0.470352275654664,-0.151936665163782,36.1328125,-51.6849708577013,-63.7435718698414
0.297,-0.272765754319473,0.0255944391089273,36.2548828125,-50.5521057693808,-63.3416100498552
